name,predicate,strategy,bugs,initial-scc,scc,initial-classes,classes,initial-bytes,bytes,initial-lines,lines,iters,searches,setup-time,time,status,verify,flaky
url0a1e70e46d_Guillefren_DirectMarket,cfr,items+graph+first,13,1225,7,124,26,195361,16484,4022,490,78,7,25.828512205,544.118532124,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,cfr,items+graph+last,13,1223,11,124,26,195361,16550,4022,498,120,11,25.391229788,714.0188559239999,success,0084,False
url0a1e70e46d_Guillefren_DirectMarket,cfr,items+logic,13,2262,143,124,26,195361,16001,4022,484,80,0,26.635313579,838.8665227770001,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,cfr,jreduce,13,0,5,124,82,223001,158377,0,0,31,5,0.0,241.52581918099997,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,procyon,classes,8,23,3,124,54,195361,97766,3917,2325,17,3,16.898894265,238.22257119300002,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,procyon,items+graph+first,8,1225,7,124,17,195361,15080,3917,387,78,7,41.840114123,808.2175603200001,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,procyon,items+graph+last,8,1223,25,124,17,195361,14371,3917,395,244,25,35.232152567,1981.173196504,success,0053,False
url0a1e70e46d_Guillefren_DirectMarket,procyon,items+logic,8,2262,150,124,15,195361,15724,3917,418,113,0,31.965185926,1466.361721773,success,success,False
url0a1e70e46d_Guillefren_DirectMarket,procyon,jreduce,8,0,3,124,54,223001,112261,0,0,18,3,0.0,276.66107306800006,success,success,False
url0e293002db_mihirvjoshi_practice_java,cfr,classes,4,127,1,164,1,170262,1154,4223,39,9,1,9.841668288,59.859372891999996,success,success,False
url0e293002db_mihirvjoshi_practice_java,cfr,items+graph+first,4,1151,1,164,1,170262,603,4223,21,12,1,13.975735143,88.21603476300001,success,success,False
url0e293002db_mihirvjoshi_practice_java,cfr,items+graph+last,4,1152,1,164,1,170262,603,4223,21,13,1,13.446998144,99.534274033,success,success,False
url0e293002db_mihirvjoshi_practice_java,cfr,items+logic,4,1693,10,164,1,170262,603,4223,21,12,0,16.943395182,119.167771592,success,success,False
url0e293002db_mihirvjoshi_practice_java,cfr,jreduce,4,0,1,164,1,195444,1339,0,0,10,1,0.0,46.81912230299999,success,success,False
url0e293002db_mihirvjoshi_practice_java,fernflower,classes,1,127,1,164,1,170262,4468,3915,196,9,1,10.976096922,81.14426384400001,success,success,False
url0e293002db_mihirvjoshi_practice_java,fernflower,items+graph+first,1,1151,1,164,1,170262,1022,3915,24,12,1,19.661956828,132.67612714499998,success,success,False
url0e293002db_mihirvjoshi_practice_java,fernflower,items+graph+last,1,1152,1,164,1,170262,1022,3915,24,12,1,20.025858536,118.37441038200001,success,success,False
url0e293002db_mihirvjoshi_practice_java,fernflower,items+logic,1,1693,7,164,1,170262,1022,3915,24,13,0,20.032128789,172.656190957,success,success,False
url0e293002db_mihirvjoshi_practice_java,fernflower,jreduce,1,0,1,164,1,195444,5232,0,0,10,1,0.0,73.894125788,success,success,False
url0e293002db_mihirvjoshi_practice_java,procyon,classes,11,127,5,164,12,170262,16828,4129,297,39,5,11.389882706,395.438487452,success,success,False
url0e293002db_mihirvjoshi_practice_java,procyon,items+graph+first,11,1151,5,164,12,170262,10563,4129,151,56,5,21.072462098,706.8037852079999,success,success,False
url0e293002db_mihirvjoshi_practice_java,procyon,items+graph+last,11,1152,6,164,14,170262,11719,4129,193,68,6,22.369742051,778.270569007,success,0027,False
url0e293002db_mihirvjoshi_practice_java,procyon,items+logic,11,1693,87,164,12,170262,10563,4129,151,48,0,22.93616384,537.910797311,success,success,False
url0e293002db_mihirvjoshi_practice_java,procyon,jreduce,11,0,5,164,12,195444,18752,0,0,38,7,0.0,389.54353019700005,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,cfr,classes,15,28,1,153,141,394453,366968,12367,11603,7,1,13.636364755,96.98827845999999,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,cfr,items+graph+first,15,1685,4,153,5,394453,16848,12367,750,47,4,25.348400555,413.395950023,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,cfr,items+graph+last,15,1697,4,153,5,394453,16848,12367,750,48,4,26.704856743,462.68557372000004,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,cfr,items+logic,15,3170,87,153,5,394453,16848,12367,750,47,0,26.692871294,558.867835294,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,cfr,jreduce,15,0,1,153,141,446293,415576,0,0,8,1,0.0,94.557255923,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,fernflower,classes,47,28,1,153,141,394453,366968,12280,11540,7,1,20.703554217,144.81832355,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,fernflower,items+graph+first,47,1685,13,153,49,394453,96806,12280,2586,150,13,34.010878643,2692.674529289,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,fernflower,items+graph+last,47,1697,13,153,92,394453,125047,12280,2858,155,13,37.268105716,3080.736034182,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,fernflower,items+logic,47,3170,862,153,49,394453,96806,12280,2586,149,0,44.672340069,2713.546691226,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,fernflower,jreduce,47,0,1,153,141,446293,415576,0,0,8,1,0.0,165.14239473700002,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,procyon,classes,5,28,1,153,141,394453,366968,12593,11833,7,1,33.039247856,227.298414218,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,procyon,items+graph+first,5,1685,4,153,8,394453,9007,12593,267,46,4,45.304376382,727.529081569,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,procyon,items+graph+last,5,1697,4,153,8,394453,9007,12593,267,47,4,42.648121827,690.866578925,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,procyon,items+logic,5,3170,73,153,8,394453,9007,12593,267,44,0,37.868420179,656.16042147,success,success,False
url0e7ea11f42_rbouckaert_DensiTree,procyon,jreduce,5,0,1,153,141,446293,415576,0,0,8,1,0.0,182.216101504,success,success,False
url0f27f73695_burlutskiy_algorithms,cfr,classes,73,133,11,167,51,212698,81934,6237,2592,84,11,11.497762804,765.9141266899999,success,success,False
url0f27f73695_burlutskiy_algorithms,cfr,items+graph+first,73,1882,36,167,47,212698,37570,6237,981,407,36,19.929358893,2964.222244151,success,success,False
url0f27f73695_burlutskiy_algorithms,cfr,items+graph+last,73,1872,40,167,54,212698,42769,6237,1024,450,40,25.772114585,3730.158310137,success,0055,False
url0f27f73695_burlutskiy_algorithms,cfr,items+logic,73,2770,359,167,43,212698,33074,6237,848,374,0,22.806207968,2829.975448204,success,success,False
url0f27f73695_burlutskiy_algorithms,cfr,jreduce,73,0,11,167,51,245134,93952,0,0,86,11,0.0,773.3056562400001,success,success,False
url0f27f73695_burlutskiy_algorithms,fernflower,classes,76,133,16,167,58,212698,88097,5810,2626,120,16,17.714780283,1406.283084096,success,success,False
url0f27f73695_burlutskiy_algorithms,fernflower,items+graph+first,76,1882,54,167,63,212698,54055,5810,1345,619,54,23.259976952,5804.017961066,success,success,False
url0f27f73695_burlutskiy_algorithms,fernflower,items+graph+last,76,1872,60,167,60,212698,51920,5810,1256,676,60,22.330570557,5738.0542058460005,success,0042,False
url0f27f73695_burlutskiy_algorithms,fernflower,items+logic,76,2770,424,167,50,212698,43041,5810,1143,591,0,24.606623347,6859.768428096,success,success,False
url0f27f73695_burlutskiy_algorithms,fernflower,jreduce,76,0,16,167,58,245134,100826,0,0,120,16,0.0,1341.6331715579997,success,success,False
url0f27f73695_burlutskiy_algorithms,procyon,classes,100,133,14,167,69,212698,93860,6005,2718,111,14,19.407496905,1749.504915661,success,success,False
url0f27f73695_burlutskiy_algorithms,procyon,items+graph+first,100,1882,29,167,63,212698,48040,6005,1230,335,29,30.421198889,4624.649077306,success,success,False
url0f27f73695_burlutskiy_algorithms,procyon,items+graph+last,100,1872,35,167,69,212698,53415,6005,1276,398,35,32.419892482,5445.375987099,success,0237,False
url0f27f73695_burlutskiy_algorithms,procyon,items+logic,100,2770,409,167,58,212698,44012,6005,1125,346,0,31.501755498,5807.097814794,success,0291,False
url0f27f73695_burlutskiy_algorithms,procyon,jreduce,100,0,14,167,69,245134,107402,0,0,113,14,0.0,1579.199741584,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,cfr,classes,3,59,1,114,4,176711,7087,4767,218,8,1,11.814595142,80.98192305399999,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,cfr,items+graph+first,3,1070,1,114,4,176711,4557,4767,158,13,1,14.15194079,122.776960998,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,cfr,items+graph+last,3,1067,1,114,4,176711,4515,4767,155,12,1,16.017797698,121.112846795,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,cfr,items+logic,3,1776,32,114,4,176711,4515,4767,155,12,0,17.792028112,153.58340733100002,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,cfr,jreduce,3,0,1,114,4,200591,8105,0,0,9,1,0.0,70.326284741,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,fernflower,classes,2,59,2,114,2,176711,1607,4244,44,13,2,13.680443935,85.611305064,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,fernflower,items+graph+first,2,1070,2,114,2,176711,939,4244,26,22,2,21.85479592,171.020758912,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,fernflower,items+graph+last,2,1067,2,114,2,176711,939,4244,26,22,2,22.146171366,185.158344216,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,fernflower,items+logic,2,1776,11,114,2,176711,939,4244,26,22,0,20.947665282,231.59980754600002,success,success,False
url0f71e3c338_Rescue9_CIS_249_Java_Programming_2,fernflower,jreduce,2,0,2,114,2,200591,1901,0,0,15,2,0.0,93.296226342,success,success,False
url0fb6923c07_rattias_mscviewer,cfr,classes,100,119,1,368,297,741189,626834,19849,16591,9,1,19.853386019,164.088195706,success,success,False
url0fb6923c07_rattias_mscviewer,cfr,items+graph+first,100,4221,15,368,179,741189,184664,19849,3881,193,15,72.896832125,3242.277960262,success,0083,False
url0fb6923c07_rattias_mscviewer,cfr,items+graph+last,100,4248,15,368,167,741189,167644,19849,3534,190,15,72.352960515,2892.9057951940003,success,0082,False
